Sembol,Yon,Model,Esik,Train_N,Val_N,Train_TP,Train_FP,Train_TN,Train_FN,Train_Acc,Train_WinRate,Train_Recall,Train_F1,Train_AUC,Val_TP,Val_FP,Val_TN,Val_FN,Val_Acc,Val_WinRate,Val_Recall,Val_F1,Val_AUC,Sektor
TXN,SHORT,sp500_genel,50.0,5573,984,287,597,3589,1100,69.5,32.5,20.7,25.3,57.6,249,623,87,25,34.1,28.6,90.9,43.5,65.7,Bilinmiyor
TXT,LONG,sp500_genel,50.0,5573,984,0,0,3655,1918,65.6,0.0,0.0,0.0,58.5,0,0,603,381,61.3,0.0,0.0,0.0,50.7,Bilinmiyor
TXT,SHORT,sp500_genel,50.0,5573,984,460,698,3172,1243,65.2,39.7,27.0,32.2,67.1,247,697,39,1,29.1,26.2,99.6,41.4,68.1,Bilinmiyor
TYL,LONG,sp500_genel,50.0,5573,984,0,0,3539,2034,63.5,0.0,0.0,0.0,63.5,0,0,730,254,74.2,0.0,0.0,0.0,61.8,Bilinmiyor
TYL,SHORT,sp500_genel,50.0,5573,984,198,598,3823,954,72.2,24.9,17.2,20.3,56.5,217,643,87,37,30.9,25.2,85.4,39.0,50.8,Bilinmiyor
UAL,LONG,sp500_genel,50.0,4272,754,0,0,2836,1436,66.4,0.0,0.0,0.0,61.8,0,0,496,258,65.8,0.0,0.0,0.0,36.8,Bilinmiyor
UAL,SHORT,sp500_genel,50.0,4272,754,160,408,2688,1016,66.7,28.2,13.6,18.3,76.2,192,391,152,19,45.6,32.9,91.0,48.4,88.6,Bilinmiyor
UBER,LONG,sp500_genel,50.0,1435,254,0,0,977,458,68.1,0.0,0.0,0.0,42.4,0,0,205,49,80.7,0.0,0.0,0.0,61.2,Bilinmiyor
UBER,SHORT,sp500_genel,50.0,1435,254,189,505,559,182,52.1,27.2,50.9,35.5,53.9,38,127,74,15,44.1,23.0,71.7,34.9,66.0,Bilinmiyor
UDR,LONG,sp500_genel,50.0,5573,984,0,0,3449,2124,61.9,0.0,0.0,0.0,60.1,0,0,687,297,69.8,0.0,0.0,0.0,37.7,Bilinmiyor
UDR,SHORT,sp500_genel,50.0,5573,984,310,1082,3174,1007,62.5,22.3,23.5,22.9,42.9,313,633,29,9,34.8,33.1,97.2,49.4,53.1,Bilinmiyor
UHS,LONG,sp500_genel,50.0,5573,984,0,0,3552,2021,63.7,0.0,0.0,0.0,49.1,0,0,624,360,63.4,0.0,0.0,0.0,54.7,Bilinmiyor
UHS,SHORT,sp500_genel,50.0,5573,984,350,816,3284,1123,65.2,30.0,23.8,26.5,43.5,249,602,87,46,34.1,29.3,84.4,43.5,47.8,Bilinmiyor
ULTA,LONG,sp500_genel,50.0,3904,689,0,0,2444,1460,62.6,0.0,0.0,0.0,59.7,0,0,453,236,65.7,0.0,0.0,0.0,47.5,Bilinmiyor
ULTA,SHORT,sp500_genel,50.0,3904,689,228,554,2428,694,68.0,29.2,24.7,26.8,70.2,178,435,75,1,36.7,29.0,99.4,44.9,71.5,Bilinmiyor
UNH,LONG,sp500_genel,50.0,5573,984,0,0,3353,2220,60.2,0.0,0.0,0.0,52.1,0,0,659,325,67.0,0.0,0.0,0.0,43.1,Bilinmiyor
